Date,qsif Hybrid Long-Short Fund,Altiva Hybrid LongShort Fund ,qsif Equity Long Short Fund ,qsif Equity ExTop 100 LongShort Fund,iSIF Hybrid LongShort Fund ,iSIF Equity ExTop 100 LongShort Fund ,Titanium Hybrid LongShort Fund ,Magnum Hybrid Long Short Fund,Arudha Equity LongShort Fund,Arudha Hybrid LongShort Fund,Diviniti Equity Long Short Fund,DynaSIF Active Asset Allocator LongShort Fund,DynaSIF Equity Long Short Fund,Nifty 50,Sensex
19-02-2026,9.8331,10.3471,9.8179,9.4375,10.1037,10.02,10.1002,10.228,,10.06,983.6339,,,25938.84961,84675.07813
18-02-2026,9.8529,10.3371,9.9063,9.5307,10.0924,10.01,10.1583,10.2094,,10.06,993.9071,,,26129.59961,85220.60156
17-02-2026,9.8628,10.3188,9.8804,9.5183,10.0738,9.97,10.1378,10.1967,,10.052,991.2977,,,26146.55078,85188.60156
16-02-2026,9.8697,10.3203,9.8584,9.4801,10.0653,9.96,10.1173,10.1775,,10.044,990.9132,,,26328.55078,85762.00781
13-02-2026,9.8581,10.3256,9.8041,9.4891,10.1232,10.02,10.076,10.1992,,10.039,987.2548,,,26250.30078,85439.61719
12-02-2026,9.8586,10.3248,9.919,9.6285,10.1375,10.07,10.1469,10.2107,,10.037,994.8071,,,26178.69922,85063.34375
11-02-2026,9.8993,10.3242,9.9441,9.671,10.1151,10.06,10.1667,10.2059,,10.04,994.5118,,,26140.75,84961.14063
10-02-2026,9.9243,10.3063,9.9122,9.6913,10.069,10.05,10.1576,10.1975,,10.042,993.5065,,,25876.84961,84180.96094
09-02-2026,9.9277,10.299,9.9241,9.6474,10.0054,9.99,10.1285,10.1806,,10.034,994.3212,,,25683.30078,83576.24219
06-02-2026,9.9221,10.3055,9.8602,9.5179,10.0179,9.99,10.0961,10.1671,,,992.3122,,,25790.25,83878.17188
05-02-2026,9.8831,10.3035,9.8633,9.5456,,,10.0823,10.1695,,,992.0587,,,25732.30078,83627.6875
04-02-2026,9.9126,10.2781,9.8575,9.5587,,,10.1022,10.1675,,,995.2829,,,25665.59961,83382.71094
03-02-2026,9.9083,10.2773,9.8305,9.5232,,,10.0602,10.099,,,991.875,,,25694.34961,83570.35156
02-02-2026,9.9165,10.2751,9.6863,9.3212,,,9.9359,10.1153,,,988.0553,,,25585.5,83246.17969
30-01-2026,9.8328,10.2641,9.7259,9.401,,,9.9637,10.1168,,,991.1992,,,25232.5,82180.46875
29-01-2026,9.8431,10.246,9.7173,9.3402,,,9.9702,10.1168,,,991.679,,,25157.5,81909.63281
28-01-2026,9.8272,10.2363,9.6627,9.2716,,,9.9409,10.0885,,,992.481,,,25289.90039,82307.36719
27-01-2026,9.8007,10.2623,9.6089,9.1911,,,9.8856,10.1059,,,991.2368,,,25048.65039,81537.70313
23-01-2026,9.775,10.2433,9.5686,9.2054,,,9.8527,10.1427,,,991.7995,,,25175.40039,81857.47656
22-01-2026,9.7774,10.2597,9.7196,9.3047,,,9.9296,10.1242,,,994.4711,,,25342.75,82344.67969
21-01-2026,9.81,10.2958,9.6609,9.2621,,,9.9126,10.1254,,,995.4498,,,25418.90039,82566.36719
20-01-2026,9.758,10.2843,9.7209,9.3169,,,9.9395,10.1916,,,996.0857,,,25320.65039,82269.78125
19-01-2026,9.8071,10.2918,9.843,9.4982,,,10.0145,10.1865,,,1001.0849,,,25088.40039,81666.46094
16-01-2026,9.8472,10.2797,9.8965,9.5835,,,10.0495,10.1787,,,1002.6582,,,25727.55078,83739.13281
14-01-2026,9.8889,10.2842,9.9255,9.6072,,,10.0457,10.1888,,,1003.1586,,,25776,83817.6875
13-01-2026,9.9018,10.2759,9.9876,9.6624,,,10.0291,10.1823,,,1003.9296,,,25642.80078,83313.92969
12-01-2026,9.9463,10.2907,9.9924,9.6524,,,10.0263,10.1726,,,1003.3332,,,25693.69922,83580.39844
09-01-2026,9.9387,10.2998,9.9816,9.6437,,,10.0086,10.1871,,,1001.885,,,25867.30078,84065.75
08-01-2026,9.9307,10.2949,10.0993,9.807,,,10.0446,10.225,,,1003.6882,,,25935.15039,84273.92188
07-01-2026,9.9903,10.2942,10.1812,9.9772,,,10.1093,10.2191,,,1007.3804,,,25953.84961,84233.64063
06-01-2026,10.0045,10.2902,10.1689,9.9139,,,10.1112,10.2406,,,1007.3292,,,25807.19922,83674.92188
